I/E,N/S,T/F,J/P,Essay
I,S,T,J,"Attending the academy for the first time was like first year all over again, however the only difference is that not everyone is the same age. The idea of meeting people is really cool however the issue is when you will be forced to work with people which is where things tend to be a bit shaky because not everyone has the same standards. To make matters more interesting when your grades is directly dependent on your interaction with the team. During varsity I must admit I have not had the best experiences when working in a group because you tend to find similar roles and characters. However I am a bit optimistic given the diverse ages at the academy under the assumption that there are folk with work experience and hopefully more mature. Furthermore, I have come to realize that establishing solid authentic team dynamics's is also a lot more stressful than it actually may seem without trying to fake it for the sake of the team or trying to be too accommodating.  

The real issue is trust as decisions tends to be made around the dominant personalities perspective this may not particularly be in the best interest of the team as a whole. Although I do not always agree with the approach i would agree because fundamentally understanding and skill set is not equally distributed and also because at the end of the day it is about the delivery of the project. Overall I am happy that it is a very rational decision making process. Divide trust and conquer works best for the teams which is something I have come to learn. 

Within teams if you are lucky you may find someone who has the same work ethic and who is as dedicated in which case you would most likely help each other or you could find someone who understands how you work and complements your style. 

I think initially everyone has a problem with admitting that they don't get something until deliverables are due. The journey is very emotional especially towards the end and you tend to give less and less input as you become more concerned with the delivery."
I,N,T,P,"Good day, i really don't know to start with the essay besides good day. anyway now that's out the way lets start with business. 

I have had up and down moments at the academy but mostly up. Let me start from day one meeting the students from all over South Africa was great, meeting people with different personalities coming from different background. People of different races, culture and tribes (which i enjoy the most as i have been stuck in Cape Town since the day i was born.).

Getting into the first team, i was part of a crazy, fun team. The guys didn't look down on one another and they were open, that was there strength. the first few weeks everyone was working well but when getting close to the end it became frustrated as most team members started to lose focus (i assume that they got tired and that sprint was long). The following team was great when it came to work but the bonding wasn't there at all. two members liked working at home (they were very productive) the other two were quit most of the time.

When it came to decision making, it was a meter of bouncing ideas around and choosing which one to move with and stayed with that one for both teams. the second team was split into two teams and each of those two teams did their own thing that's why i believe the new way of doing things is great. submitting as an individual and as a team so that one has learnt the skill taught at that sprint.

thanks."
I,N,T,J,"I have had a very good and fun experience though it's often the case that I am under pressure. Being in the lab has allowed me enough time to practice and get used to coding, improved my efficiency in coding and working with the computer. Before coming to the academy I wasn't so used in the idea of working in a team, but along the year I have got better at it, knowing there is someone you can count on, rely on or go to when you need help. Also I have got to know some of them on a personal level which makes it easy to understand each other, their strength and weaknesses which allows us to form a strong team. But sometimes there are disagreements on what we think is right, but we have been effective in solving those, and lucky enough I have had very co-operative team members since the beginning of this year. Though I haven't got to know many of my colleagues but the ones I have got to know I would say it was a pleasure meeting them"
E,N,F,J,"My experience at the Explore Data Science Academy has been a great so far. My goals for Explore this year have been to develop & master the skills of doing Data Science as well as improve my leadership skills.

I have felt empowered the content that we’ve been taught. Four months in, I believe I have already learnt skills that would allow me to enter & succeed in the job market. The next 7 months I plan to spend refining my Data Science skills by using 1 hour of my evenings revising the content we learnt in class. 

With regards to my second goal (improve my leadership skills), I’ve had the fortune of being in a team that had a great coordinator & excellent team dynamics. I was also a not so great team coordinator for a team. I’ve taken many lessons from both of these experiences and read a book. That has given me practical lessons to improve my leadership skills.
I’ve been in two teams so far, what worked for the first was that 1. Our coordinator nudged us to always be making progress towards a bigger goal. 2. Teammates each voluntarily picked a segment of the project that they would be responsible for. 3. Loose deadlines were agreed to, these deadlines also had allowances for members to equip themselves with the skills required to fulfil their parts of the project. 4. The team met twice a week to discuss progress. 5. Over time each member grew to be very comfortable asking for help from others as well as being given feedback. This team dynamic encouraged each member to give their part of the project their all. Inevitably, some team members who are more technically advanced than others ended up taking on more advanced work than the rest, however this at no time felt like an overburden.

Given this very positive experience I was eager to also try being a coordinator when the next sprint came around. New teams were assigned & I volunteered to coordinate. These are the aspects I believe we could have done better. 1. We didn’t have a commonly accepted bigger goal. 2. I didn’t involve the team in identifying what our small goals were. I worked on a work plan overnight & presented it to the team. While the team loved the plan, individual responsibilities for the work was not assigned. 3. This led to a situation where members of the team were not clear on what their responsibilities were. 4. As a result of power leadership, only a few members of the team ended up doing the bulk of the work. We were able to pull together & present a satisfactory project, however I believe I could have led better & helped the team deliver a far better project. Each member of the team would have also been proud of having contributed fully in the project.

I have learnt a great deal from this experience & would like to give coordinating another try, like any other skill I believe leadership can be learnt with practice."
E,S,F,J,"Explore Data Science Academy, a road I never thought I would take in this lifetime. With a love and passion for cars, being accepted for a data science internship was one of the last thing I never saw coming. My love for travelling and exploring new avenues was on some ""let's do this"" tip. 

The first day coming to Explore Data Science Academy (EDSA) was beyond my expectations, because of the visually appealing facilities that were provided to us. At first I could not believe that this was me, in Cape Town, out of my comfort zone, pushing something that did not involve anything I studied. I came in with no expectations, however, I told myself that this is something that I need to give my all in order to leave with experience that will back me in the future. The speech our supervisors gave to us on the 22nd of January reassured me that I did not make a mistake by coming here. 

On the first week of being given work to do, which was to install the softwares we would be using throughout the year, I thought these would have been pre-installed before we arrived. At first, my introvert side had the steering wheel and I did not interact with a lot of people besides my housemate. I only started interacting with people when The Water Crisis sprint started. My team had people from different background such as; Bioinformatics Sciences, Computer Science, and Economic with a statistics in the mix, and were from different parts of South Africa (mostly Gauteng). One of the few things that stood out for me about them is that most of them were not the type of people that would start conversations and my loud side had to come out in order to make everybody feel comfortable. 

During the first week of the Gather sprint it took a while as a team to start making progress, but by Thursday we had already figured out a system that worked for everyone in order for use to have something to show to our supervisor. Once we put our weaknesses and strengths on the table, we started communicating better as a team. The results were shown when our supervisor told us that he did not think we would deliver what we delivered, however, after what we had delivered at the end of the fundamental, he had faith that we would be the best if not one of the best. 

My love for good music, adventure and socializing led me to connecting with more people than just my group. Most of my time during the fundamentals was spent helping people, building friendships that would carry me through the EDSA year or even greater than that, learning languages like Python and SQL, and channeling my mind to data scientist mode. On weekends my colleagues and I would tour Cape Town by going to the beach, hike up the mountains we could see from the EDSA lab, visiting malls and theme parks around Cape Town.

Python, one of the most complex languages to learn. Well, that is what I thought since i had no programming background. Two of my teammates had experience with working with other languages so for them, changing from one language to another, it was fairly doable. This was to my advantage since I had two people who I could consult with whenever I ran into a problem in Python. 

The presentation fundamental was one of the most laid back fundamentals we had to face since we had preplanned what we wanted to add in our slides and had a clear storyline. The fact that we had to split up after the fundamentals tore us apart, however, we vowed not to exit the Whatsapp group we created. During the review week, that weekend, a few of the people I have never talked to and a few other that I was friends with in the EDSA lab suggested we go out to a theme park near Canal Walk Mall to take our minds of the water crisis sprint. The character that were part of this outting were very shy, yet had very interesting backgrounds. I am still friends with most of them. 

The Stock Market sprint came and flew by. I was not really feeling my team since it had a lot of judgemental people who felt like they knew better. We lacked communication, but we managed to pull through and find the sprint in one piece.

The events that BCX hosted were on of the highlights of my first few months at EDSA, because of the amount of inpirational people I engaged with at those events. I felt like this was where I am meant to be every time they spoke about how lucky we are to be here and that what is waiting for us is greater than our wildest dreams. The week off takes the cup. I never expected to go home until at least July. 

I am honestly grateful to be spending the year at the EDSA lab, could not have chose anything else."
I,N,T,J,"The academy is amazing, I love this petry dish of talent! With a handful of genius characters here.. all with our own backgrounds and unique stories, the Explore Data Science Academy is the best place to develop our data analysis skills. I love my time at!

So far, I've experienced a whole lot of pressure to change into something better. The more I spend time studying, the better I feel, more comfortable I become and the closer I get to being a quality employee or entrepreneur. Everyday I come to the office, which I feel at home in, I learn something new.. something I can directly use in a business application. I look around this entire building and get inspired to start my own business with what I've learned here. We speak among ourselves about business and how the Academy is helping us realize our ideas clearly. Without the information to back our ideas up, it's difficult starting.

The availability of information is outstanding. I really appreciate this nest. My last two teams were great to work with. We achieved a bunch, again, thanks to the resources available. The first sprint was tough though. As a team, we realized our strengths and taught each other. I didn't have a problem with SQL or Python because I used both technologies before. Understanding the statistics applications for the data we were given was difficult. Worst off, the water crisis data wasn't collected well. This wasn't the worst experience because the data taught me that not all things in this career are perfect. What I can perfect are my skills in data cleaning.

What I realize is that there are a limited number of solutions to data analysis. If I perfect all outcomes to data science, I could have a breeze at work in the future. I believe in being hyper prepared for all things.. game theory on Data science would prove beneficial. 

Emotionally, I'm great. This academy brings out our best and worst skills and it provides a controlled environment to mend holes in our analytical judgement. This is a relief to me, emotionally and physically because It becomes a process of bettering myself on a daily, bit by bit without forcing myself under stress."
I,N,F,J,"My experience at EDSA so far has been a combination of challenging, fascinating, and unpredictable. Coming into this academy, I was excited that I would get to meet new people and learn new skills; I anticipated that it might be somewhat difficult engaging with new people (since I was introverted) and coming to grips with new technical ideas (because I was more a creative than a technophile), but since I loved a good challenge, I was still excited to immerse myself into the experience.

To my surprise, the challenges I faced were none of what I anticipated in that I have generally been able to interact cordially with new people and to understand the technicalities of this program. The greatest challenge by far has been working in the lab. Being in an environment with so many people (all with different personalities, habits, learning techniques and preferences) has forced me out of my natural inclination to isolate myself when working. Because I am very easily distracted, I have had to think carefully about how to navigate the space and how to simulate an environment that is conducive to my learning. 

I also found that being in a team and having to consider how to optimally ration the work, was challenging, especially in the beginning because we didn't yet have a good understanding of each other's strengths or weaknesses. That said, once we had gotten to know each other fairly well, we were able to make decisions that we believed would amplify our strengths and diminish our weaknesses so that we could produce results of the best possible quality. In that sense, much of the decision-making in the teams has been rational rather than emotional. We would apply logic and reason to what we wanted to achieve and how we thought we might be able to do it, but I found that there was always room to be empathetic and thoughtful (thereby engaging our emotions rather than reason) if, for the sake of a team member, we had to alter the original plan.

This is somewhat consistent with how I personally make decisions: I think that most times I base my decisions on what I think will yield the best results in terms of what I am trying to achieve, even if this happens to be inconvenient or taxing in the process; other times, especially if the decision to be made is not of great consequence, I make decisions based on my emotions if I believe that the 'rational' or 'logical' decision will likely hurt someone's feelings or cast me in a bad light.

All in all, I have learned an awful lot about myself: from my preferences, to my strengths and weaknesses, to my character... I have found the learning curve steep and my emotions rather turbulent throughout this process, but I have enjoyed every part of the challenge and what it could mean for my future -- it is this prospect that holds me together on the worst days and exhilarates me on the best days."
E,N,T,P,"Imagine being so excited to finally meet people that are like minded. Maybe it could be rephrased as meeting people like me. However, instead, we meet a small sample of different types of people all with different types of personalities. Yet again you find yourself stuck in a world with different types of people that are different, with different interest and ambitions, that translates to how they make decisions every day. Their decisions affect you, especially because we are working in teams. On the other hand, the decisions I make affect them and how the team processes. According to the personality test, my personality is defined by five letters ENTP-T, according to this classification I am a debater. As a true debater, I am not convinced, but I will play along for the suck of this test and discuss how my personality has affected my general experience at the academy.

The lab has allowed us to have access to each other as well collaborate, although working effectively in the lab can be a challenge, because they are many distractions. I have found it easier to get to know people and the type of strengths, knowledge background and passions they have in general. This type of knowledge allows me to be more efficient in knowing who to ask for help from for different things.  Which I do prefer doing more than asking a facilitator. I have always done that in the past where I prefer working through a challenge with a peer, along the process I learn more than I would have otherwise. 
Now when its comes to working in teams, I have always, been the first one to speak and give an opinion because I came in with a variety of ideas, it’s the extroverted side to me. Therefore, I end up leading, the team. In this role I prefer not to police people, therefore I have either allowed people to lead themselves then I would make sure that the project requirements are completed at the end. With the last sprint I dedicate the responsibilities according to people’s backgrounds strengths and interests. With one person leading a deliverable for the project then at end I would ensure that requirements for the submission are met. 

I have employed similar strategies in the past, working tangibly with what people bring to the table. This has framed the decision making in the teams I have worked in. If someone shows up we will work with them if not we work with what we have. This approach has made it easier to focus on the objective and deliver the projects.    The decision making has been rational most of the time but a little emotive at times, with irrational judgements being employed to make assumption on people attitudes toward project work. Which creates a barrier for people who have not been pulling their weight in the past to immediately, integrate into the teams later.  However the team dynamics have forced me to be a finisher."
I,N,F,J,"My experience at EDSA has been an interesting one for me thus far. It has pushed me to get out of my shell and to interact more with people. Since I have been at the academy I have realised that I am smarter than I think and I have a lot of valuable knowledge and insight to share.

My biggest fear before coming to the academy was the social aspect and having to interact with different people, but since I have been here I have been able to overcome this fear. When we were first placed into groups I was literally sweating, heart rate was high and felt sick to my stomach at the idea of being in a group with strangers. The second time we were split in new groups I wasn’t as nervous. I have become more social and enjoy meeting and working with new people now.

Working in groups has been a challenge for me. It can be very frustrating because everyone is different and everyone has a different approach to the learning process and project management. I’ve learned a lot about myself through working with others. I took the backseat in some things even when I knew a better way of doing things. I spoke out and I saw that this helped the team steer the team in a better direction. I have become more assertive. I thought I was a very passive person and that I couldn’t be assertive to save my life, but now I think I am more assertive and I don’t find it as daunting. 
My biggest frustration with working in teams is dealing with people who think they know everything and aren’t willing to open up themselves to learning something new from their fellow teammates. We had a person like this in my previous group. The person would dictate to the team and didn’t want to collaborate with the team, they had a dominating personality and the rest of us were very shy. I realised that if none of us didn’t speak out we’d fail the sprint and I then forced myself to breakout of my shyness. I think I am still fairly shy but when it comes to work I fight through my shyness. 
Decisions in my previous group were initially made by one person. I prefer for problems to be discussed by everyone in the team and different possible solutions explored and to come up with a collaborative solution. I have found this in my current team. But there are still issues, such as people letting pride and emotions get in the way work, and people who are distracted and aren’t as committed to the project. 
Working in the labs is a challenge. There are a lot of distractions and noise and I cannot focus easily, I prefer to work at home, I get so much more done at home. Some people come to the academy to socialise more than anything and this very distracting for me."
I,N,T,J,"The past 5 months at Explore Academy have been challenging. I have had to make great adjustments in order to be here. There have been both positive and negative experiences. One of the most positive experiences has been how much I have learned. I have met a lot of people that are highly intelligent and who have the same interests. I have worked with 2 different teams. I prefer to work alone but working in a team makes more sense due to the sheer volume of work. The first team experience was incredibly frustrating. My team members were highly introverted and not technically strong which made discussions and assigning tasks difficult. Even when tasks were assigned there was no accountability to meet deadlines. I prefer to chip away steadily at work as opposed to rushing close to the deadline to finish. Working with my second team was much better. We met regularly, and communicated a lot. Tasks were assigned and everyone was accountable. The team members were very helpful towards each other."
I,N,T,J,"My experiences at The Academy so far have been life-changing to say the least. Meeting smart, passionate, hardworking and ambitious people from all different backgrounds who happen to have so many similar interests as mine has been an interesting journey. 

Being an introvert who prefers working alone and at my own pace within my own space , I had to quickly find a way to adapt and polish up on my social skills in order to socialize with 99 strangers who I am going to be learning data science with. I understood from the word go that the need to socialize and form meaningful relationships with my fellow interns could see me forming a strong network that may be helpful many years to come in my career, long after the internship. The Academy’s emphasis about the importance of team work is a concept that took a while for me to warm up to. These teams have been exposing me to different individuals from varying academic, social, work and geographical background with different personalities: introverts, extroverts, intuitive, artistic and even some really funny characters. Most of my teammates have been phenomenal and experienced in fields that I had no previous exposure to. I have learned a lot from them. Equally I’ve also encountered some independent and disagreeeable teammates who required me to adjust my levels of patience, tolerance and understanding of those that may not necessarily share similar beliefs with me. There has been a need to be patient and tolerant to other people’s points of view and approaches to solving and completing team tasks. In our teams, due to differing views, opinions and approaches we have had to use democracy (voting) in order to reach most decisions within the groups. Although it is easy for one to resort to taking emotionally-driven decisions due to one’s firm beliefs in their own ways of doing things a high level of emotional intelligence is critical for favourable team dynamics. The Academy is based in Cape Town, a city which I’ve only visited on holidays before. Moving to Cape Town had its own challenges which required me to have a solid ‘family’ away from my family and fortunately I have found my fellow interns very resourceful in many ways even outside of the ‘labs’. For example we have a group in which we share information on accomodation, transport around the city, social events and other extramural activities. I have had the chance to test my team-building skills and virtues through the regular group sessions we have with Nuri and I believe they have been very helpful in giving me an idea of how I relate with other people in less formal settings. Credit is due to our supervisors, facilitators and oprerations officer; they have been helpful in making our internship experience a manageable and definitely one that will be memorable years to come. Their commitment to the programme makes it easier for people of all personalities to settle in nicely within this diverse small community."
I,N,T,P,"My Experience At The Academy So Far

It has been an interesting 4 months and although I was apprehensive about meeting and having to work with new people, I still enjoyed the work and I am looking forward to what comes next. The group work and team dynamics have been a particular challenge and although I haven’t really socialised with my colleagues since I arrived in Cape Town, there have been some friendships formed mostly with the students who live in the same house as me.

The team dynamics were a challenge during the fundamentals sprint because we didn’t have a fair division of responsibility as well as accountability in the team. Some group members would slack off and not do their part and it was hard to hold anyone accountable because we were all concerned about being nice.

The decision-making in my group in the fundamentals sprint was a mixture of the rational and emotional, we did some things right but other things badly because no one wanted to take responsibility, there was too much passing of the buck. The team was also beset by laziness and an unwillingness to really get down and learn what was needed to deliver the project.

For the RSA stock market sprint, my group was somewhat better in that most people were hard-workers and we divided responsibilities early on based on the perceived strengths of each individual. The only really serious problem in my group was the communication between the different areas of functional responsibility, it was clear that the group members who prepared the presentation did not fully understand the analysis that the analysis team had performed.

The decision-making in our group was rational.

As for working in the labs, it is a nerve-wracking experience for me because a significant proportion of people simply go there to socialise and it is distracting for some of us, I prefer working in an environment of absolute silence(hence I prefer working after midnight) where I can simply think about the problem and allow myself to be as creative as possible in solving the problem.

People who do not assist my thought-processes in terms of thinking about the problem and its solutions are an irritating distraction. I cannot be around too many people for too long because I eventually lose my focus on the problem and have to focus on the people, it would be so much better if silence was mandated and enforced in the labs. We also need more individual work instead of group-work.
 
This all suggests ways I could do more to contribute to the group and some signs that I have learnt some of the lessons that emerged from my previous group, there is still a lot of trepidation about what comes next. I hope I meet group members who are committed to the project, otherwise, everything will end in tears."
E,S,F,J,"My experience at the Academy has been exceptional. Meeting new people have been amazing, specifically working with them. It is very much challenging from first inception to relate, but with time things gets better when we begin to know and get use to one another. There are some odds events were one or two group member does not want to participate(eg. missing meetings) or does thing on their way as oppose to what agreed in a group, of which is really a problem to me if they are not participating and also productive, especially when they do not meet group expectations or do not do group works at all, of which other members end up doing their work. This means that as a group we take a collaborative decision and planning and we expect everyone to deliver as agreed and planned. Being in the lab is one of the best way to work, especially when it comes to group work, i have find it very collaborative  and useful. It's unfortunate that some of the group members choose to work home and or just leave early and or come late. I have found this behavior hinder progress, especially if tasks have been divided into sub groups among group members. The most critical aspect of group is always communication. Most members usually communicate their inability to complete task late or when work is due. Some of the members get emotional when we are against their approach, of which at the end of the day we always encourage one another to see the right side of the approach to task or project at hand. Working with many different people have taught me to rely on others, that means to trust that the other member can do the work, even better than me. And it has been fun leaning since day one."
E,N,F,P,"I enjoy meeting new people from different walks of life and having constant, everyday social interaction. I have been slightly reserved when it comes to approaching people as most are much older than me. I also have a fear of being inadequate or unqualified as many people have already worked in professional environments and have a qualification, undergraduate and otherwise. The large emphasis on group work is a big learning curve for me as I have always preferred to work alone and do everything the way I want, although I have improved that since my time here. I tend to not take charge unless no one else does and am better at talking to people and helping them them find their role. I am versatile and don't mind taking the least desired role despite having preferences. No one in my group is very decisive. We have a general guideline that we try to stick to although that hardly is the case. We prefer to be versatile in our approach to work. That is rather consistent with my method of making decisions. I am a little less organised than my group is though. I tend to procrastinate and have to make major decisions or complete important tasks very last minute. I tend to sway very easily depending on my emotions. I do know when to not let my emotions run ahead of me (since it is something I am known to do) and put my foot down, take a step back and examine things from a rational perspective. It is hard for me to do this as it is not easy to put my emotions beside me."
I,N,T,P,"I honesty been enjoying my time here and i have no regret on the choices i have made. It has been really educational and i love the structure, the environment and that no one will force you to work you just have to push yourself as much as you can and that the facilitator are really helpful and you can bounce ideas with them and see how far your able to explore your imagination.

As for meeting new people it's always nice to here stories about other people and how far they had to go to be where they are in life, combine that with different cultural group and other things i got to learn more about people's culture and stories each can tell. To work together it's really tricky fun at times but tricky, it does not matter how many times you have to do it i think it will always be tricky if i where to talk about it i wont have enough words left.
As for making decisions it's simple to have everyone agreeing to goals but when the deadline has arrived people have stories, and i'm unable to relate to their excuses, honestly i wish everyone could adhere to their words, it not really how i would like decisions to be made i like to explore a lot when i'm working on something but due to time constrain sometimes it's just best to do the expected and if there is enough time explore some more. Some team members are a too sensitive way too sensitive but i will leave that part there.
I love this academy i wish there was more time to be here to learn a bit more, there are enough resources here to even conduct maybe research, for instance we all know how to write good machine learning algorithms but we don't understand how they work we might even not be able to improve them."
E,S,F,P,"My life at the academy.

It has been a wonderful experience, so joyous and full of many possibilities. it was the 22nd of January 2018 when I took the the tax from Kraainfontein heading to Woodstock, a place I have never been, I was told it is not far from Capetown CBD. the exact location I was going to was the Woodstock exchange building that's where the explore data science academy is located. with help of asking people in the taxi and help from GPS I was able to find this building and I got there around about 10:30 am, yes I was very late I got to the presentation room where Aidan (the Supervisor) was giving overview of the academy and what was expected from us(the student). The room was full of 100 students from different provinces, races and backgrounds. I listened to this long bearded white guy speaking and he was so eloquent and profound in his own right. one thing that struck my intention was the emphasis in his speech about how intelligent we are (the students) because apparently about 8000 people applied for the program, only about 3000 people were able to finish the whole selection process and 250 people were interviewed and we were the top 100 that made it to the program.
Aidan's words were full of passion and compassionate, so inspiring and encourages, they gave birth a new hope in my life I knew then and there that I was not what I have been labelled by some people a 'failure' there was more to me and I knew that this opportunity was the beginning of the great journey ahead. I promised myself that I will do things different this time, I will work hard and play less, I would make few friends and I will pray more and give thanks to the heavenly father.

it was about a week later where we(students) were split into a group of five people to work on the Capetown water crisis using the skill we have learnt over the past week i.e SQL, Python and Power BI. our group name was the bean bags, a group of four males and one female, we embark on this project,  we use the divide and conquer approach to help assign work to each member, my group members were wonderful people to work with, we jelled and had so much fun together . the bean bags often worked together, using one computer and we helped each other with tasks assigned to each member. we worked together for two months and we had to present our findings regarding the Capetown water crisis solutions or suggestions when the sprint came to an end. 

we were split once again for the South African stock market project, now I was working with different people I had to adjust to the new team which went by the name of StockOverFlow, I was a bit nervous because in my previous team I already made friends we were not only working together but had forged friendship amongst ourselves but I had to adjust.  StockOverFlow was a team of three males and two females, the sprint was only for a month and there was so much to be done. learning different models to predict the stock prices was very fascinating and challenging for me.  we used the divide and conquer approach assigning tasks to each member and consolidating what each member has done to google drive, it was the 26th of April when we presented our model and predictions of the stock price and we had a one week break and came back for another sprint. I realized that in a very short space of time I have learned so many many skills and I can apply them to solve real world problems. being here has been a wonderful experience and I am grateful."
I,S,T,P,My time at the academy has been very positive. I've had no unpleasant interactions with any person so far but I don't believe I've cultivated many deep relationships aside from perhaps one. The two groups I've been assigned have been socially pleasant. My first group wasn't ideally organised but my second group was better in that regard. There wasn't a particularly assertive presence in my first group unlike my second but there was a positive dynamic present in both. I prefer not to make decisions for the group but I try my best to pull my weight if not more to not be a burden.
I,N,T,P,"Starting the academy has been a wonderful experience. The Cape town is a beautiful city and the location of the academy could not have been better. Meeting all the different characters has really been an experience.In the first few weeks meeting new people on a daily basis was sometimes intimidating. Teamwork has never really been my strongest skill and it has always been something I would like to improve upon, and when I heard that the academy has a strong teamwork emphasis I was happy.The academy and working in the lab has a strong social element to it, even though the work we are learning is somewhat technical. In the first sprint, I quickly discovered how diverse our group was. We had vastly differing amounts of experience from fresh high-school graduate to someone that had been working for a decade. We also had differing skill sets. Working in these groups has been challenging and rewarding at the same time. For the Cape Town sprint our primary downfall was a lack of planning as who does what. This resulted in us being almost late for a few deadlines. Communication within the group could have been a lot better. I tend to keep a flexible approach with completing tasks, this flexibility ended up costing because we did not establish proper deadlines."
I,S,T,J,"From a social perspective, my experiences at the Academy have had a refreshing impact on my personal development. I prefer to do things by myself.   This is reflected by my interest in gaming, reading and fan-fiction writing. However, I am willing to interact with others when necessary.  I enjoy paintball with friends far more than sitting in a lounge rather making casual small talk. This applies to the workplace as well as we are essentially doing things together. Even when talking, we inevitably get into topics related to coding and such. Generally people (outside of the academy who have known me for years) seem to identify me as an introvert but this can give the misconception of poor communication skills which isn't always the case. I have not had too many issues communicating with team mates and others in the class regarding various topics ranging from work-related to hobbies (especially sport, gaming and anime). I prefer to finish that roleplaying video game than do some lounge talk but I also like talking about science and nerdy things. In other words, when I need to socialise, I have no problems doing so. 

Intuition and observation are both valuable traits in the workplace such as a data scientist team-based project. Working in teams has allowed me to utilise both. I have found that often I do analysis and others who haven't done it can apply their intuition. I have managed to do the same thing. This is different from academics before where I would essentially do everything by myself. In this regard, the team-based nature of the course has done very well. Often we think we are good at one or the other but working with others can stimulate us such that we can potentially become good at the trait we previously thought we weren't naturally suited to. When this is not the case, working in teams can sort of force us to find ways to overcome this weakness or to make it a strength instead. 

That been said, the team dynamics sometimes involved a lack of coordinated planning among the team members. While it is good to keep things open, that should be applied to a plan rather than to no plan. If you decide on a certain approach to solving a problem that involves coding, dashboard and so on, that doesn't mean that you can't improvise. I do not agree that improvisation is the ultimate way to do things. We make a plan and rely on open-minded thinking such that if the plan doesn't appear to be working, then we improvise.   

Generally in my experience at the academy, emotion seems to rule the roost with logic been seen as a potential barrier to team work cooperation. This can mean that students end becoming to dependent which can affect teamwork negatively in the long term. 

Overall the course has excelled in bringing out personality traits of relevance to the workplace, providing opportunities to overcome weaknesses or utilise them as strengths instead."
I,N,T,J,"The academy has been a very challenging experience. I expected the prior coding knowledge I had to be of help but it had been of very minimal help, the greatest challenge for me is Statistics. I am slowing getting to the point where I don't actually try to understand the concept thoroughly  but rather get the basic theory down so I can focus on the application.

Overall, it has been a very insightful journey, learning how to interact with different personalities and group dynamics. I am really excited to leaning more about NLP and Regression and how to incorporate that in app development and monetize it.

I genuinely do not regret applying to the academy and although there are days of doubt and hurdles remembering the greatness of this opportunity is always a great motivator."
I,N,F,J,"A big part of joining the Academy this year was meeting and working with lots of new people. This has been an unexpectedly positive experience. Despite everyone being from different backgrounds, there is a sense of camaraderie and the other interns have been very friendly. Even though everyone is being tested and graded the environment is non-competitive with most people being willing to help each other. This has made it enjoyable to work in the lab. However, the noise and bustle of the lab can sometimes be overwhelming and draining so I find it productive to sometimes spend an hour or two after a day in the lab working at home where it is quiet.

The most challenging aspect of the year so far has been the teamwork.
During the first project (Cape Town Water Crisis) there were at times conflict in the team due to some of the team member not contributing as much and therefore shifting the workload to other team members. While this has led to some resentment by team members, it was expected. In team projects the work is rarely equally divided and this team managed to complete the project despite the difficulties. After reflecting on the experience I was grateful to have done a big share of the work as it gave me an opportunity to learn a lot more than I would have otherwise.

The second project (the JSE stock market sprint) had a much shorter time span and therefore how the team approached the project had to be different. The team had to divide up the work as there was no time for everyone to be involved in all the deliverables. This was hard for me to do as it meant trusting other people with work without directly being involved in it and being dependant on them to complete it.

The process of decision making in both teams have been very democratic. The team discusses the problems and possible approaches and there is usually an obvious decision that everyone agrees on. The decision making has so far tended to be rational with team members not being very emotional. The most emotional part of the projects were the stress that we faced as the final deadlines neared.

All in all, the experience at the academy so far has been very positive and I have learnt a lot. I hope to improve the way I approach team work in the upcoming sprints."
E,N,T,P,"It has been over four months since I decided to embark on this journey. Packed a bag, moved to a new city and took the first step to living the best moments of my life. 
I love meeting new souls. It is always fascinating finding out where someone else’s journey began, how similar or different the footsteps they have left are. Being amongst 99 brilliant minds is incredible, getting to know them is refreshing. There are people who stand out, but everyone is unique.

I have always been good at working on my own, taking the reins. The ability to work effectively in a team is an acquired skill, having to understand different personalities, how people deal with problems and how they all communicate.

Delegating has seemed to help in terms of getting work done in the teams, with each person taking a piece , we were sure to finish our elephants. 

The decision-making process was  structured, which benefited the whole team. The guidelines from the rubric and from our supervisors helped to keep us on the right track. My decision-making is mostly based on impulse, so following a process was ideal for getting results.

It was great having team members who pay attention to detail since I mostly focus on the bigger picture. They made sure that our work was appealing.

It has been quite an experience, with constant learning. I am growing my skill set, including soft skills. This is just the beginning, I have a lot more to learn."
E,S,T,J,"It‘s the greatest opportunity to be part of the 100 chosen individuals for this wonderful programme. The Explore Data Science Academy (EDSA) environment makes me feel welcome and it is perfect in terms of collaboration and networking with different individuals that have interesting views and personalities. For me it’s hard to distinguish between the EDSA and work environment. This is the type of environment that prepare you for real job.

 EDSA provides one with the opportunity to learn and to work with diverse group of people in terms of career background, culture and religion. Working in groups with different individuals for each project has been exciting. Throughout this time, I’ve learned a lot about working in teams. First of all I’ve learned that through team work we achieve more in terms of results and learning new things. Secondly, when we come to decision making, everyone has their own opinion but coming to a final decision is another thing. So I learned that it’s not about voicing out your opinion, but convincing fellow team members that indeed your opinion will be fruitful.

When it comes to team strategies to embark on a particular project, it’s not a one size fits all situations. Each team has to come up with its own strategy as to how they are going to solve the assigned problem. This is difficult, especially when you have to serve as a team coordinator and you have to serve again, this time in a complete different team with a whole set of different personalities and characters. In this instance I learned that strategy is based on the skills, capabilities and mostly the team’s attitude towards the project at hand. Knowing the strengths and weaknesses of your team members is a good start.

So far a have learned a lot. I’m still intrigued and eager to learn a lot more. I feel like I am becoming a real data scientist with each day that passes and this is all thanks to EDSA for giving me this wonderful opportunity."
